variable,coefficient,p_values,significance
127,0.27419465259269576,0.016506002790392705,*
128,0.3269478230962409,0.0038595668726143766,**
129,0.8504822055931903,8.364796645753494e-12,***
130,0.022231275767371182,0.7474914877794792,
131,-0.6023527370642007,7.604983960966249e-07,***
132,0.8973085176041878,8.76391822220212e-14,***
133,-0.5922081932564809,2.3098432529582516e-07,***
134,-0.5360793730789322,5.267019925408004e-06,***
135,0.088580006163281,0.40686136344724877,
136,0.21508574437914685,0.05647311034939683,.
137,-0.10729468895940693,0.3234549741919377,
138,-0.5644717490745831,1.6524184174432359e-06,***
139,0.15923064216761804,0.12082692015315552,
140,-0.015503401625391038,0.7886471720894576,
141,-0.07913645574371163,0.44575467639333666,
142,0.0,0.9909823379169008,
143,0.4372883002777636,0.0003152424613175753,***
144,-0.10391340867731294,0.28550252510574947,
145,-0.11992083244878939,0.23798311637082825,
146,0.0646814350662462,0.45198234196601317,
147,0.6031446912255312,5.732215872948114e-07,***
148,-0.3650094308804977,0.0014573021676470882,**
149,-0.0063072166150813045,0.9021460962856872,
