variable,coefficient,p_values,significance
could,-0.01743544504634072,0.7541108591198395,
countri,-0.08672209387782168,0.10121279879077232,
cours,0.03435274629247099,0.5992716051360159,
court,0.08204122929267878,0.11226558768874617,
cover,0.11021780913322628,0.06295805384414353,.
creat,-0.07536257793277876,0.14449217523144145,
critic,-0.11457949278426915,0.07818456291380241,.
cruz,-0.44548234687720056,0.0030420928781723006,**
current,0.09062872190129342,0.1771940227894897,
cut,-0.009626161522656702,0.928827812702398,
day,0.18296128045847024,0.003084231778479027,**
deal,-0.05404622608992771,0.3266441225421174,
death,-0.05110663567206942,0.40763858663985597,
debat,-0.377386515913009,1.0838458346000586e-08,***
decad,-0.061602056906892244,0.3099430013237163,
decid,-0.026726840603638752,0.7017797124420773,
decis,-0.13959720494460412,0.021319486770004115,*
declar,-0.12578280419928403,0.06372982231123898,.
defend,-0.028075615167308905,0.6387564995729433,
defens,0.1569823735029081,0.0058062349793783705,**
democrat,0.011317612874180892,0.7464091941641324,
depart,-0.13677222526962268,0.016411985312406396,*
describ,-0.013062090367918798,0.8218025408925521,
despit,-0.13279693000309933,0.03551121648814954,*
detail,-0.12872335076167518,0.06055142646555741,.
develop,0.10332073178221719,0.07826067327261939,.
differ,-0.07314670371789099,0.25705634438287905,
direct,0.05274855006761888,0.3677723437325643,
director,0.031035061942362586,0.6182424402595283,
discuss,0.1289754860634197,0.03509396061342869,*
donald,0.023806447364273467,0.9433875194467797,
donald trump,0.24846045784609314,0.20228697155911513,
done,-0.031443485254792354,0.6643534878934825,
earli,-0.011182242327844167,0.8134037639190324,
earlier,0.009911052212255593,0.9135274167135501,
econom,0.07509922377209435,0.21707106832956236,
effect,0.038756286457257434,0.5630658447561716,
effort,0.031715173449941694,0.5208260787482617,
either,-0.0656642331990932,0.37559208204568517,
elect,0.3626237996225861,4.223465029277362e-08,***
email,0.2870680423295475,1.2947191759288255e-06,***
end,0.1063941295603427,0.07127994863353547,.
enough,0.08039050447550253,0.18965928083111627,
entir,0.10510451610064418,0.17332756601585542,
especi,0.07720125059340714,0.2554690642704144,
establish,0.36352230981677436,1.0709927178301964e-07,***
even,0.008957901615831649,0.7729336437841813,
event,0.06048629298620761,0.2795683906636608,
ever,0.020091019822218645,0.7177102986898396,
everi,-0.07838843284889734,0.15996755899513926,
everyon,0.03752086113190452,0.47546685826473467,
everyth,-0.09807057242340271,0.10727969414235035,
evid,0.03596244290139591,0.40240559949907106,
exampl,-0.13653855560166878,0.04652833612825517,*
execut,-0.06400880472071623,0.2690726690026378,
exist,0.11288134681615518,0.07432138514367206,.
expect,-0.1362007365052982,0.027692524722942407,*
explain,-0.036821084542659095,0.4607636674769222,
express,-0.13462016763617685,0.02344621700372984,*
face,0.04045320956714081,0.5104714481296027,
fact,-0.029497923675914414,0.5671327006230535,
fail,-0.070441163050847,0.26828237000746213,
fall,-0.06795713418072799,0.30995079078458865,
famili,-0.058750263137039925,0.25907584526818805,
far,-0.062304808803880646,0.34110416764908014,
favor,0.026129248124680173,0.728884677926303,
fbi,0.11211609436100493,0.05243814042998209,.
fear,0.07289544216234638,0.18439860846027678,
feder,0.002137335030339746,0.8307598943264224,
feel,0.0581432943762748,0.2914773644545806,
fight,-0.03638163932490184,0.5539903470470968,
figur,-0.07812505599498178,0.1946866987249658,
final,0.1725802926367984,0.007117060528589709,**
find,-0.016163587345796978,0.7290024433873947,
fire,-0.01057531513373569,0.793318738107794,
first,-0.0363531662027381,0.4507895903229243,
five,-0.12120735782560428,0.05891271620031227,.
florida,0.1557049338779679,0.04123586072218025,*
focus,-0.11462116811269664,0.06759770939300912,.
follow,0.20508416031643625,0.0024827808708771226,**
forc,-0.017079002223722217,0.6462670575326152,
foreign,-0.13667764615542274,0.010903079868960379,*
form,0.10273982620624145,0.08998738905558831,.
former,-0.06449358277318075,0.312442117153624,
forward,0.14109647086345511,0.05344658977918867,.
found,-0.054569473985992545,0.25432099695865007,
four,-0.17390345242033584,0.010754421851654029,*
fox,-0.2799992783131691,3.6597578413982416e-05,***
free,0.12521165361047745,0.045737739727687486,*
friday,-0.24831230802096596,7.297512712687405e-05,***
friend,0.0,0.9970835146909593,
front,-0.2126069561005901,0.0017291220736455057,**
full,0.18419297449291358,0.007966122487884846,**
fund,-0.07708308645717968,0.15957709608497328,
futur,0.09499891860553952,0.09339093380700651,.
general,-0.06407365459859088,0.26669457828228926,
get,0.0505376963793757,0.4237920777714804,
give,0.031026700088555643,0.5965155042288968,
given,0.1295685615692057,0.028081421476030908,*
go,0.09524789509899552,0.1269256107686131,
good,0.08354427881488939,0.15213956463065295,
gop,-0.33029190960174853,6.76516672029198e-05,***
got,-0.026410071566829785,0.6575151772308275,
govern,-0.036479436182671375,0.45363399482251343,
governor,-0.02809226179587157,0.6834047140284083,
great,0.054618696371637826,0.36695275197067645,
ground,0.0,0.9516321023893676,
group,-0.20860381097449557,0.00010707225196939182,***
grow,-0.04427771356509494,0.3986293117515435,
half,-0.12164726104569445,0.07059496830876527,.
hand,-0.006786110344190578,0.7746887826356892,
happen,-0.08243527494307888,0.13976992320899143,
hard,-0.03849572440091962,0.5853133240113844,
head,0.08809505880108116,0.1705208532600172,
health,0.046663215782304354,0.34396301838123255,
hear,-0.001812386718440802,0.9448545579949329,
held,0.07104014456494769,0.21912968822482648,
help,0.033313135414352914,0.5675776853593403,
high,0.02205417903307618,0.7962944439272133,
hillari,0.5680449683890213,8.494665480820009e-07,***
hillari clinton,0.0,0.8645322728981321,
histori,0.0,0.9556027164518035,
hit,0.05882981013255777,0.32337796144319475,
hold,0.09124047753757408,0.11176177638962176,
home,0.09084048589117434,0.09739589075909975,.
hope,-0.09582451666025567,0.15014822983755424,
hour,-0.026741606856820355,0.5931390301349975,
hous,-0.023004434405394136,0.7357918140164932,
howev,0.3512485310948415,3.68263318722564e-08,***
human,0.2175241245287747,9.182551230905524e-05,***
idea,0.09510701877796437,0.10698634607014822,
immedi,0.05865802293123154,0.3401170768287094,
immigr,0.004302054549309407,0.9436539510940047,
import,-0.08325073710552203,0.1322748630411375,
includ,-0.1150365308648852,0.059477907739540065,.
increas,0.09756058172336501,0.08161869494736941,.
independ,0.049547681668545604,0.4454588741061076,
inform,-0.09382824875512312,0.0638013995923598,.
instead,-0.20171208146682676,0.003746409948528382,**
institut,-0.13786847408030511,0.026647014083314245,*
interest,0.08640718210415346,0.11932395222715109,
intern,0.11783586922814983,0.035880851139553735,*
interview,-0.06976612306049992,0.21902696157759594,
investig,-0.06107751252473026,0.21359560749824247,
involv,-0.05734397322092169,0.3418760946153788,
issu,-0.11434802316055002,0.08373788268948382,.
job,-0.16142282292501078,0.0031009187131564643,**
john,0.07786431179515252,0.248322850808957,
join,0.007207311142229994,0.8338278249666219,
justic,0.05070676000426584,0.5042279846865014,
keep,0.09830647240822013,0.12903917740604734,
key,-0.0855337842405377,0.22063124032828185,
kill,-0.027971868048320758,0.594043293057418,
kind,-0.1515160734654195,0.02403331318530781,*
know,0.050303151734766946,0.4035448419659745,
known,0.0661156435615904,0.2739740962392978,
larg,-0.030513894537072758,0.6115873342135867,
last,0.0,0.9929289319800148,
last week,0.0,0.995072012259843,
late,-0.08492572578350807,0.22558887827333418,
later,-0.13625230212217768,0.04803126611202221,*
latest,-0.028197012117387787,0.6600707941973905,
law,-0.20210900556098454,5.273011699648701e-05,***
lead,-0.032786122887166126,0.5721761505387988,
leader,-0.09039434004024119,0.13314187615106238,
learn,0.11641743158184219,0.05644262279365788,.
least,-0.0682633230067255,0.24030119999042798,
leav,0.11751764811535796,0.041149408594058384,*
led,0.07847193812095635,0.191655077339138,
left,-0.06341336666462297,0.2619634132578622,
legal,0.06613857533804764,0.23088631430515572,
less,-0.1041049888646637,0.14148687019107242,
let,0.07921714310887797,0.20357805522625982,
level,-0.14602218439446693,0.012999495621143983,*
