variable,coefficient,p_values,significance
115,-0.14912169082953114,0.00138511199682058,**
116,-0.01642323832987631,0.7047067989740005,
117,-0.026339570516480167,0.5499186612899278,
118,0.041476736080627415,0.3421061251005211,
119,0.041553358188370644,0.3691406080539418,
120,-0.0462441483221612,0.2972752893431134,
121,-0.019296253031642993,0.6398145223319118,
122,0.006712282243187857,0.8437554101401911,
123,0.028814546558152642,0.5078567282947033,
124,-0.004666590710493241,0.8727960591166288,
125,-0.04604483010847029,0.29742652006279313,
126,0.02185798143591013,0.6075938390062806,
127,-0.14510491199289302,0.002224353257341242,**
128,-0.09979615999636655,0.02867589627784518,*
129,0.06532888499302975,0.15111871668543264,
130,-0.0387823109163789,0.3868079304090417,
131,0.19419270760346122,3.111815166049979e-05,***
132,0.041810451989639744,0.35401015863484486,
133,-0.13078962913211767,0.004981364839565198,**
134,-0.02249003079927374,0.5986331375055645,
135,-0.08682624263552635,0.05172691739317868,.
136,0.03594557369501117,0.4084822669592372,
137,0.07592530655058749,0.09788129445624308,.
138,-0.17935370590655994,9.753230351287927e-05,***
139,-0.05167849993376532,0.257176371723421,
140,-0.029815801693418055,0.49841234156580294,
141,0.014911412246487593,0.7121245825409603,
142,-0.025999415982457325,0.5581328523383047,
143,0.01592602052986563,0.7001900367678667,
144,0.0542487892233213,0.23363381396001848,
145,-0.04341301100119193,0.33608850185238803,
146,0.0023105055460466203,0.9234398439173203,
147,0.10999389463118124,0.017422905797874075,*
148,0.04963506699616678,0.2660430161048368,
149,-0.06883668138093427,0.13185832683169546,
