variable,coefficient,p_values,significance
author,-0.10369024430417799,0.16965365916948705,
away,-0.17393085116596463,0.05162902434173754,.
back,-0.06469494987925177,0.2776231265985668,
bad,0.08698633604623021,0.3021006858217402,
barack,0.0,0.7669102835945949,
barack obama,0.0,0.7582766406633504,
base,-0.14449274374621376,0.2540080911204462,
becom,0.10452524635660136,0.09692310251009702,.
began,0.01167233385250801,0.743338206617023,
begin,-0.19065704437833797,0.05289148369941075,.
behind,0.19818357576585813,0.039758289353564895,*
believ,-0.06387600403758113,0.8519346538987995,
berni,-0.5735532698099287,3.2413740416320665e-05,***
best,0.11763743988116096,0.11418689631944265,
better,-0.13319984647564675,0.07390411779808667,.
big,0.0,0.7918912439166537,
bill,0.21379959520165012,0.010376387195029403,*
black,-0.0024521911392460997,0.7325139147373261,
break,0.06843307419979312,0.6325600325665302,
bring,-0.13754988675345795,0.06702093154849983,.
build,0.014341574304805704,0.8390503866219283,
bush,-0.13298958230202387,0.14271767498468704,
busi,-0.3227461124010849,5.615842392743487e-05,***
call,0.0,0.8043537459087198,
came,-0.27961354012979783,0.010683959842344035,*
campaign,-0.20307772325884668,0.014393020996997416,*
candid,-0.30056925594072437,0.008816916013018027,**
cannot,0.07769111047204404,0.32780075914124107,
care,-0.061994816930402805,0.3598267529063012,
carri,0.06207901828148892,0.2378033472897505,
case,-0.19332568651263524,0.004378841391309969,**
caus,-0.10944525904670926,0.08275166267848352,.
center,-0.08264393440200402,0.3468727647413443,
certain,-0.21535011745186564,0.0071984515644238686,**
challeng,-0.04530549770262984,0.6601240097960062,
chanc,-0.2060284172107499,0.006156265118394115,**
chang,-0.07688098146844324,0.2062448462569172,
charg,0.0,0.5942546704768104,
chief,-0.20586925595679156,0.0029114721894086064,**
children,0.0483581223982068,0.7610964763072309,
choic,-0.06278177129562172,0.4905430842772974,
citi,0.21782608079255292,0.0001350800548788404,***
citizen,0.06991359090360018,0.39199052250698896,
claim,-0.023827366751184728,0.7475213415250739,
clear,-0.10410073449743273,0.1546651063798145,
clinton,-0.0033184860408024073,0.4668371357904083,
close,-0.015699441366695564,0.9800422204853751,
cnn,-0.30846467483828616,0.0003190074618613098,***
come,0.15542576921535273,0.061463659079889495,.
comment,0.38496627241273745,1.362356206693556e-06,***
commit,0.16385242195699015,0.021846701858573042,*
committe,-0.10010608152756294,0.17146011576926135,
common,0.006339640156239213,0.6367211022904309,
communiti,-0.03958463139170927,0.28929250335079626,
compani,0.16468193705360581,0.06194770204129446,.
complet,0.21213975318900966,0.03841962081189132,*
concern,0.13327570637008682,0.04231941627097812,*
congress,0.09343555290285092,0.0831847805918223,.
conserv,-0.6898006229415973,6.252616855076429e-12,***
consid,-0.1782461098374208,0.011941571945801416,*
continu,0.13026326143681133,0.18351716001960916,
contribut,-0.18850232348207077,0.12470841773064818,
control,-0.12691148684457113,0.0811494095507978,.
convent,-0.3185465260367192,0.0033674087709740933,**
cost,0.04687778635243687,0.4384710393268313,
could,-0.0026355464954986845,0.9313921790503568,
countri,-0.20694370869525525,0.015343812302818794,*
cours,-0.017787525927207476,0.6878897041723168,
court,0.015122339531746652,0.711444973705744,
cover,0.19129845912939655,0.015197496934447186,*
creat,-0.06796631467893399,0.33861252757416727,
critic,0.019446108920563275,0.3810239458969318,
